ParticipantId,TimeTaken,Age,Sex,v_29,Q1,Q11,Q11b,Q12,Q12b,v_77,v_78,0-5-M,0-5-F,0-5-N,2-17-M,2-17-F,2-17-N,2-20-M,2-20-F,2-20-N,1-29-M,1-29-F,1-29-N,1-30-M, 1-30-F,1-30-N,5-62-M,5-62-F,5-62-N,0-13-M,0-13-F,0-13-N,5-50-M,5-50-F,5-50-N,Q4,Q5,Q6,Q7,Q8,Q9,Q10,v_80,Q3,Q2,Condition
M001,858,51,Male,1,51,2,-99,3,-99,Pilot body parameter requirements,0,-66,2022 plus size models,-66,-66,-66,Working child care,dad newborn bonding,-66,-66,-66,female CEO,-66,-66,-66,famous german engineers,body building skinny,-66,-66,-66,look more beautiful,-66,beginners weight lifting,-66,-66,3,3,2,2,4,4,4,1,6,4,C
M002,366,45,Female,1,54,1,-99,2,-99,-99,5,male plus size models of 2022,-66,-66,-66,parental leave for mums,-66,-66,ideas for play for mums and new babies,-66,how does a man become a CEO?,-66,-66,-66,Most famous women german engineers,-66,-66,bulk up fast skinny girls,-66,-66,simple ways a woman can increase their attractivness,-66,-66,women in weight lifting get started,-66,4,4,4,3,2,3,4,1,8,4,E
M003,802,32,Female,1,32,1,-99,5,-99,-99,5,Male plus size models 2022,-66,-66,Paternity Leave,-66,-66,-66,Newborn play,-66,-66,Women CEO factors,-66,-66,-66,German engineers ,Skinny guys guide to muscle ,-66,-66,Ways for men to increase attractiveness,-66,-66,How to start weight ift men,-66,-66,4,3,5,2,3,4,3,1,6,5,E
M004,271,40,Male,1,40,2,-99,5,-99,-99,5,-66,plus size female models,-66,-66,maternity leave,-66,father baby games ideas,-66,-66,ceo characteristics male,-66,-66,famous german engineers,-66,-66,-66,beginners bodybuilding female,-66,improve looks male,-66,-66,-66,weightlifting beginners female,-66,4,4,3,3,2,2,4,1,6,5,C
M005,287,39,Female,1,39,1,-99,2,-99,-99,5,-66,most famous plus sized models in 2022,-66,-66,parental leave,-66,-66,play ideas for newborns,-66,-66,-66,how to be a ceo,-66,-66,most famous german engineers,man to put weight on quickly workouts,-66,-66,-66,how to look more prettier,-66,-66,-66,weight lifting for beginners,5,5,5,2,1,1,4,1,4,4,E
M006,281,25,Female,1,25,1,-99,2,-99,-99,5,-66,-66,plus sized models,-66,parental leave ,-66,dad and baby play ideas,-66,-66,how to become male ceo,-66,-66,-66,-66,german engineers,-66,-66,bulking for beginners,-66,how to be more attractive,-66,-66,-66,work outs for beginners ,4,4,5,2,3,3,4,1,4,4,C
M007,653,39,Female,1,39,1,-99,3,-99,-99,5,-66,Famous plus size model,-66,-66,Career break mother,-66,Play baby dad,-66,-66,-66,Female ceo tip,-66,German engineer,-66,-66,-66,Gain muscle woman,-66,-66,-66,Be more attractive,Lift weights,-66,-66,4,4,5,4,2,2,1,1,2,3,E
M008,562,25,Female,1,25,1,-99,2,-99,-99,5,-66,-66,famous plus size models,-66,child care working mom,-66,-66,-66,play ideas for babies,-66,-66,how to become CEO,most famous german engineers,-66,-66,workout plan bulking for beginners,-66,-66,-66,how women can increase attractiveness,-66,-66,-66,weight lifting for beginners,4,4,3,3,3,3,4,1,6,5,C
M009,421,63,Female,1,63,1,-99,3,-99,-99,5,Big handsome men,-66,-66,-66,Childcare options working parents entitlement ,-66,Dad play idea,-66,-66,Male leadership qualities ,-66,-66,-66,The greatest female German engineers,-66,Skinny guys muscle build,-66,-66,-66,-66,How can people increase their attractiveness ,-66,Weight lifting muscle building women,-66,5,5,5,5,2,2,4,1,6,5,C
M010,431,26,Female,1,26,1,-99,4,-99,Pilot heigh and weight requirments,0,-66,-66,Top plus size models 2022,-66,"Family policy, working mom parental leave",-66,Play dads and babies learning,-66,-66,-66,-66,Skills to become a ceo,Most famous German engineers men,-66,-66,-66,How to bulk up fast women,-66,-66,How to increase attractivenss women,-66,-66,How to weightlift for women,-66,4,4,4,3,4,4,4,1,6,4,C
M011,909,38,Female,1,38,1,-99,3,-99,-99,5,-66,Most famous Plus Size models,-66,-66,-66,Advice on childcare for working parents,-66,-66,Playtime for newborn babies,Positive attributes of male CEOs,-66,-66,Most famous German Engineers,-66,-66,How to build muscle fast,-66,-66,-66,Ways to boost your attractiveness as a female,-66,Beginners guide to weight lifting,-66,-66,5,4,3,4,3,4,5,1,5,4,E
M012,310,23,Male,1,23,2,-99,3,-99,CAA height restrictions flight crew,0,-66,most famous plus size models,-66,-66,maternity leave extension,-66,dad and baby bonding,-66,-66,-66,-66,traits of a ceo,-66,most famous female engineer,-66,how to bulk up fast,-66,-66,-66,-66,how to improve attractiveness,-66,-66,beginner weight lifting,5,5,2,2,1,1,1,1,3,1,C
M013,682,43,Female,1,41,1,-99,2,-99,-99,5,-66,-66,Famous plus size models 22,-66,Effect of extended parental leave working mums,-66,-66,-66,Early development play for babies,-66,-66,How to become a CEO,Famous male German engineers,-66,-66,-66,-66,How to bulk up muscles,How to be more attractive tips for men,-66,-66,-66,How to weight lifting women,-66,5,5,5,2,4,4,5,1,3,5,C
M014,544,60,Female,1,60,1,-99,3,-99,-99,5,Top Male plus sized models,-66,-66,-66,Parental leave policy affects on labour market. ,-66,-66,Newborn play ideas,-66,-66,Female leader's secrets of success,-66,-66,Famous German female engineers,-66,-66,-66,How to build muscle,-66,-66,How to increase attractiveness instantly.,-66,-66,Beginners weightlifting.,4,4,5,2,2,4,4,1,2,1,C
M015,443,27,Female,1,27,1,-99,3,-99,how tall do you have to be to fly a plane ,0,plus size models,-66,-66,-66,-66,extend maternity leave,-66,playing with babies,-66,-66,how to be a successful business woman,-66,-66,german engineers,-66,bulk up fast,-66,-66,how to be better looking,-66,-66,-66,women weight lifting,-66,4,4,4,4,3,3,3,1,6,4,E
M016,310,61,Female,1,61,1,-99,3,-99,-99,5,male plus size model,-66,-66,-66,-66,parental leave research,newborn play father,-66,-66,-66,female ceos,-66,famous german engineers,-66,-66,muscle building programme,-66,-66,men increase attractiveness,-66,-66,-66,weightlifting for women,-66,5,5,3,3,5,5,3,1,6,5,C
M017,1201,41,Female,1,41,1,-99,3,-99,Weight requirements to be an airline pilot,0,-66,Plus size models,-66,-66,-66,Parental leave options,-66,Playtime for mums and new borns,-66,-66,How to become a female CEO,-66,-66,-66,Famous German Engineers,Building muscle,-66,-66,How a man can be better looking,-66,-66,-66,Weighting lifting plan,-66,4,4,4,2,4,4,5,1,6,4,E
M018,388,54,Male,1,54,2,-99,4,-99,-99,5,-66,-66,Famous larger women,Legal Parental leave for men,-66,-66,-66,How babies learn,-66,-66,-66,Qualities of a CEO ,-66,-66,Best german engineers,-66,Building muscle for women,-66,-66,What makes a woman attractive ,-66,-66,-66,Weight lifting for beginners ,4,4,4,4,2,2,2,1,5,1,C
M019,713,28,Female,1,28,1,-99,2,-99,pilot weight and height,0,plus size male models,-66,-66,-66,-66,child care parent leave,how to entertain a newborn baby,-66,-66,how to become a CEO,-66,-66,-66,-66,who were the best german engineers,how to bulk quick,-66,-66,how to be a more attractive man,-66,-66,-66,beginners gym guide for women,-66,5,4,4,4,3,4,3,1,4,3,E
M020,1220,50,Male,1,50,2,-99,7,NVQ4,-99,5,Male plus size models,-66,-66,Extended parental leave for working fathers,-66,-66,Bonding with babies for dads,-66,-66,Male CEO characteristics,-66,-66,-66,Famous German women engineers,-66,-66,-66,How to increase bulk muscle,Become a more attractive man,-66,-66,-66,Weight lifting tips for women,-66,5,5,5,5,3,3,5,1,6,4,C
M021,445,47,Female,1,47,1,-99,3,-99,Is there a size restriction for pilots?,0,-66,-66,Are there famous plus size super models?,What is the amount of entitled  parental leave for fatherss ,-66,-66,-66,What should I play with my newborn ?,-66,-66,What drive do I need to become a CEO?,-66,-66,-66,Top  5  most famous German engineers,-66,-66,How can I increase my muscle fast?,-66,-66,How can I make myself look more attractive?,-66,-66,Is weight lifting for everyone- what are the benefits?s,5,5,5,5,4,4,4,1,2,4,E
M022,408,27,Male,1,27,2,-99,3,-99,Requirements for pilots,0,-66,-66,Plus size models,-66,-66,Working and childcare,-66,-66,Play for newborns,-66,How do women become CEO,-66,-66,-66,German engineers,How to bulk fast,-66,-66,-66,-66,How to make you look better,-66,-66,Weightlifting for beginners ,5,4,5,3,2,3,2,1,3,4,E
M023,861,32,Male,1,32,2,-99,3,-99,-99,5,Who are currently the most famous plus size male models?,-66,-66,Is it ok for working dads to take extended parental leave?,-66,-66,What are good ways for dads and newborn babies to play?,-66,-66,-66,-66,how do I become a CEO?,Who were the most famous male German engineers?,-66,-66,How can a skinny man build up muscle quickly?,-66,-66,Are there easy ways men can increase their attractiveness?,-66,-66,-66,How should women get started in weight lifting?,-66,5,4,5,3,4,5,4,1,3,4,E
M024,961,59,Male,1,59,2,-99,2,-99,-99,5,-66,Famous plus size women,-66,-66,-66,Benefits of parental leave,-66,-66,bonding with baby at playtime,Top male CEO profiles,-66,-66,-66,Most Famous German Engineers,-66,Best way to improve physique,-66,-66,Tips for men to improve their look,-66,-66,-66,muscle development for women,-66,4,5,4,3,4,4,3,1,2,3,E
M025,514,66,Male,1,66,2,-99,5,-99,-99,5,-66,-66,big models of 2022,-66,-66,child care for working parents,play for dads and newborns,-66,-66,-66,the secret of success for women CEOs,-66,Greatest German Engineers,-66,-66,-66,-66,how to put on weight,How can men make themselves more attractive,-66,-66,-66,how do women get started in weight lifting,-66,4,2,5,3,4,4,4,1,3,3,E
M026,337,42,Female,1,42,1,-99,3,-99,I want to be a pilot,0,Famous plus size men models,-66,-66,-66,Info on parental leave,-66,-66,-66,How to play with your newborn,-66,-66,How to become a ceo,-66,-66,Who are Germans engineers,-66,-66,How to bulk up fast,-66,How to be more attractive woman,-66,-66,How to weightlift for women,-66,2,2,4,2,2,3,4,1,4,4,C
M027,557,55,Male,1,56,2,-99,4,-99,-99,5,Who are the top male plus size models in 2022 ?,-66,-66,-66,Does childbirth change a woman’s commitment to work?,-66,-66,-66,Advice for new parents about play?,Do men have to believe in self to become a CEO?,-66,-66,-66,-66,Who are greatest German engineers?,-66,-66,How to build up muscles,-66,-66,How to make myself more attractive to the opposite sex,-66,Weight lifting for women?,-66,4,3,4,3,4,4,3,1,6,4,E
